date,Location,Layer,Variable,Value
2/4/2018,Mindoro,1,Sal,14646.34921
2/4/2018,Mindoro,1,Velu,-1.19047619
2/4/2018,Mindoro,1,Velv,-8.857142857
4/23/2016,Visayan,0,Temp,28.51556429
4/23/2016,Visayan,0,Sal,14711.13571
4/23/2016,Visayan,0,Velu,-214.2142857
4/23/2016,Visayan,0,Velv,75.74285714
4/23/2016,southsibuyan,0,Temp,29.29515714
4/23/2016,southsibuyan,0,Sal,14641.45
4/23/2016,southsibuyan,0,Velu,-123.2571429
4/23/2016,southsibuyan,0,Velv,65.17857143
4/23/2016,southsibuyan,1,Temp,16.55690909
4/23/2016,southsibuyan,1,Sal,17068.93506
4/23/2016,southsibuyan,1,Velu,1.103896104
4/23/2016,southsibuyan,1,Velv,-4.935064935
4/23/2016,sibuyan,0,Temp,29.45305
4/23/2016,sibuyan,0,Sal,14621.15714
4/23/2016,sibuyan,0,Velu,-144.8071429
4/23/2016,sibuyan,0,Velv,79.72857143
4/23/2016,sibuyan,1,Temp,12.93081818
4/23/2016,sibuyan,1,Sal,15941.23377
4/23/2016,sibuyan,1,Velu,-1.363636364
4/23/2016,sibuyan,1,Velv,1.454545455
4/23/2016,tablas,0,Temp,29.38142857
4/23/2016,tablas,0,Sal,14518.02857
4/23/2016,tablas,0,Velu,-73.79285714
4/23/2016,tablas,0,Velv,-63.08571429
4/23/2016,tablas,1,Temp,12.32026531
4/23/2016,tablas,1,Sal,15042.5102
4/23/2016,tablas,1,Velu,0.326530612
4/23/2016,tablas,1,Velv,10.46938776
4/23/2016,surigao,0,Temp,28.35421429
4/23/2016,surigao,0,Sal,14598.22619
4/23/2016,surigao,0,Velu,-311.7678571
4/23/2016,surigao,0,Velv,-72.10119048
4/23/2016,surigao,1,Temp,10.88588095
4/23/2016,surigao,1,Sal,14659.32143
4/23/2016,surigao,1,Velu,2.928571429
4/23/2016,surigao,1,Velv,-4.94047619
4/23/2016,Mindoro,0,Temp,29.66131973
4/23/2016,Mindoro,0,Sal,14128.68027
4/23/2016,Mindoro,0,Velu,9.795918367
4/23/2016,Mindoro,0,Velv,-52.07482993
4/23/2016,Mindoro,1,Temp,7.75
4/23/2016,Mindoro,1,Sal,14768.55556
4/23/2016,Mindoro,1,Velu,2.873015873
4/23/2016,Mindoro,1,Velv,-15.23809524
7/9/2018,Visayan,0,Temp,29.26655714
7/9/2018,Visayan,0,Sal,14326.97857
7/9/2018,Visayan,0,Velu,103.8214286
7/9/2018,Visayan,0,Velv,53.73571429
7/9/2018,southsibuyan,0,Temp,29.34295714
7/9/2018,southsibuyan,0,Sal,14421.11429
7/9/2018,southsibuyan,0,Velu,47.13571429
7/9/2018,southsibuyan,0,Velv,57.32142857
7/9/2018,southsibuyan,1,Temp,13.88497403
7/9/2018,southsibuyan,1,Sal,15601.79221
7/9/2018,southsibuyan,1,Velu,0.753246753
7/9/2018,southsibuyan,1,Velv,-2.402597403
7/9/2018,sibuyan,0,Temp,29.41412857
7/9/2018,sibuyan,0,Sal,14417.32143
7/9/2018,sibuyan,0,Velu,88.12857143
7/9/2018,sibuyan,0,Velv,81.70714286
7/9/2018,sibuyan,1,Temp,10.96206494
7/9/2018,sibuyan,1,Sal,14878.5974
7/9/2018,sibuyan,1,Velu,-0.207792208
7/9/2018,sibuyan,1,Velv,-0.493506494
7/9/2018,tablas,0,Temp,29.10616429
7/9/2018,tablas,0,Sal,14299.35
7/9/2018,tablas,0,Velu,51.03571429
7/9/2018,tablas,0,Velv,-11.52857143
7/9/2018,tablas,1,Temp,12.54442857
7/9/2018,tablas,1,Sal,15070.05102
7/9/2018,tablas,1,Velu,-1.214285714
7/9/2018,tablas,1,Velv,0.93877551
7/9/2018,surigao,0,Temp,29.15430952
7/9/2018,surigao,0,Sal,14213.74405
7/9/2018,surigao,0,Velu,22.0952381
7/9/2018,surigao,0,Velv,-87.04761905
7/9/2018,surigao,1,Temp,11.48239286
7/9/2018,surigao,1,Sal,14787.71429
7/9/2018,surigao,1,Velu,-3.047619048
7/9/2018,surigao,1,Velv,-0.702380952
7/9/2018,Mindoro,0,Temp,28.70116327
7/9/2018,Mindoro,0,Sal,14099.97959
7/9/2018,Mindoro,0,Velu,-28.12244898
7/9/2018,Mindoro,0,Velv,327.2040816
7/9/2018,Mindoro,1,Temp,7.760587302
7/9/2018,Mindoro,1,Sal,14767.96825
7/9/2018,Mindoro,1,Velu,0.206349206
7/9/2018,Mindoro,1,Velv,0.095238095
11/5/2014,Visayan,0,Temp,28.78627857
11/5/2014,Visayan,0,Sal,13972.10714
11/5/2014,Visayan,0,Velu,2.164285714
11/5/2014,Visayan,0,Velv,20.90714286
11/5/2014,southsibuyan,0,Temp,28.93892143
11/5/2014,southsibuyan,0,Sal,14096.39286
11/5/2014,southsibuyan,0,Velu,-57.02142857
11/5/2014,southsibuyan,0,Velv,56.97142857
11/5/2014,southsibuyan,1,Temp,12.89906494
11/5/2014,southsibuyan,1,Sal,15816.07792
11/5/2014,southsibuyan,1,Velu,-1.532467532
11/5/2014,southsibuyan,1,Velv,-4.584415584
11/5/2014,sibuyan,0,Temp,28.94161429
11/5/2014,sibuyan,0,Sal,14176.88571
11/5/2014,sibuyan,0,Velu,-134.4285714
11/5/2014,sibuyan,0,Velv,1.185714286
11/5/2014,sibuyan,1,Temp,10.89607792
11/5/2014,sibuyan,1,Sal,15217.22078
11/5/2014,sibuyan,1,Velu,-1.701298701
11/5/2014,sibuyan,1,Velv,4.428571429
11/5/2014,tablas,0,Temp,28.85064286
11/5/2014,tablas,0,Sal,14102.09286
11/5/2014,tablas,0,Velu,-74.1
11/5/2014,tablas,0,Velv,-194.0642857
11/5/2014,tablas,1,Temp,11.90927551
11/5/2014,tablas,1,Sal,14928.17347
