"date","lab","BaliteBay_surface_elevation","BaliteBay_water_temp_0","BaliteBay_salinity_0","BaliteBay_velocity_u_0","BaliteBay_velocity_v_0","BaliteBay_water_temp_100","BaliteBay_salinity_100","BaliteBay_velocity_u_100","BaliteBay_velocity_v_100"
"2003-03-27",NA,519.648351648352,"14357.1868131868","7115.18681318681",-408.186813186813,-654.67032967033,14621.3626373626,1175.31868131868,-140.582417582418,-326.835164835165
"2003-04-03",NA,539.945054945055,"14382.3846153846","7295.26373626374",-260.263736263736,-451.967032967033,14735.3736263736,1873.95604395604,-138.197802197802,-236.021978021978
"2003-04-10",NA,527.593406593407,"14387.7802197802","7621.23076923077",-92.9340659340659,-255.351648351648,14619.2087912088,1487.20879120879,-205.472527472527,-310.208791208791
"2003-04-17",NA,549.406593406593,"14470.2857142857","8117.72527472528",1017.98901098901,1829.45054945055,14798.4505494506,2698.21978021978,381.252747252747,1979.43956043956
"2003-04-24",NA,560.472527472528,"14408.1648351648","8604.46153846154",16.5604395604396,-48.8901098901099,14647.7472527473,3633.18681318681,-29.5164835164835,-136.505494505495
"2003-05-01",NA,552.802197802198,"14519.8021978022","8494.2967032967",2372.17582417582,3975.54945054945,14660.1208791209,2474.12087912088,535,4152.47252747253
"2003-05-08",NA,572.967032967033,"14583.0549450549","9228.40659340659",-17.5274725274725,-47.7142857142857,14624.5824175824,3470.81318681319,-33.5054945054945,-37.1318681318681
"2003-05-15",NA,584.736263736264,"14531.6703296703","9426.12087912088",-94.5054945054945,-201.494505494505,14655.2857142857,3389.31868131868,-85.8901098901099,-91.4945054945055
"2003-05-22",NA,581.769230769231,"14507.5714285714","8522.16483516483",82.1538461538461,-106.681318681319,14756.1978021978,3278.01098901099,-104.769230769231,-154.175824175824
"2003-05-29",NA,563.230769230769,"14528.010989011","8185.63736263736",98.7472527472527,26.5054945054945,14844.1978021978,2347.56043956044,-69.2747252747253,-135.868131868132
"2003-06-05",NA,600.934065934066,"14515.3626373626","8091.07692307692",77.8791208791209,118.703296703297,14803.0989010989,3286.26373626374,-81.4835164835165,-155.175824175824
"2003-06-12",NA,604.285714285714,"14317.4175824176","8791.26373626374",1382.57142857143,2064.85714285714,14604.2307692308,3750.67032967033,533.230769230769,2001.27472527473
"2003-06-19",NA,530.945054945055,"14343.9340659341","7418.69230769231",100.648351648352,62.9120879120879,14637.9340659341,2831.21978021978,-88.0659340659341,-116.362637362637
"2003-06-26",NA,540.186813186813,"14329.5824175824","9026.07692307692",-205.901098901099,-293.142857142857,14672.978021978,2348.31868131868,-150.758241758242,-237.252747252747
"2003-07-03",NA,525.934065934066,"13974.5604395604","8848.42857142857",5.18681318681319,-42.6263736263736,14986.8571428571,2389.93406593407,-10.4065934065934,-93.3626373626374
"2003-07-10",NA,542.120879120879,"13944.956043956","8896.97802197802",34.043956043956,-91.4835164835165,15021.0769230769,2139.03296703297,-17.2417582417582,-100.032967032967
"2003-07-17",NA,559.956043956044,"14250.4725274725","9209.04395604396",-230.659340659341,-447.571428571429,14691.3956043956,2354.36263736264,-183.571428571429,-318.186813186813
"2003-07-24",NA,520.901098901099,"14288.5934065934","9046.10989010989",1174.72527472527,1753.56043956044,14702.1098901099,440.252747252747,-210.043956043956,1716.50549450549
"2003-07-31",NA,586.967032967033,"14206.7912087912","9272.71428571429",-135.142857142857,-384.373626373626,14769.5604395604,1700.37362637363,-219.527472527473,-440.648351648352
"2003-08-07",NA,581.615384615385,"14130.8021978022","8774.79120879121",-75.1318681318681,-285.483516483516,14713.3076923077,959.384615384615,-211.208791208791,-449.824175824176
"2003-08-14",NA,570.406593406593,"14236.8461538462","9011.1978021978",-200.857142857143,-391.164835164835,14668.5934065934,1926.69230769231,-167.879120879121,-369.065934065934
"2003-08-21",NA,552,"14368.956043956","8454.51648351648",-83.0989010989011,-188.516483516484,14698.5054945055,1920.74725274725,-121.494505494506,-340.296703296703
"2003-08-28",NA,561.186813186813,"14316.1538461538","9034.05494505495",-254.021978021978,-459.131868131868,14898.1318681319,2938.74725274725,-180.681318681319,-355.208791208791
"2003-09-04",NA,553.923076923077,"14379.3846153846","8511.71428571429",-26.967032967033,-125.527472527473,14742.1648351648,2425.40659340659,-225.813186813187,-327.857142857143
"2003-09-11",NA,561.230769230769,"14391.956043956","8805.91208791209",1318.53846153846,1976.41758241758,14652.1538461538,3034.27472527473,347.978021978022,1905.28571428571
"2003-09-18",NA,602.43956043956,"14119.3626373626","8748",-208.362637362637,-488.978021978022,14620.7362637363,3282.17582417582,-218,-401.274725274725
"2003-09-25",NA,581.142857142857,"14076.021978022","8520.36263736264",-216.263736263736,-548.879120879121,14631.3296703297,2695.82417582418,-311.351648351648,-560.582417582418
"2003-10-02",NA,631.681318681319,"14211.043956044","8926.95604395604",1119.42857142857,1550.17582417582,14596.7472527473,4145.50549450549,473.395604395604,1716.59340659341
"2003-10-09",NA,657.593406593407,"14237.8131868132","9279.82417582418",-228.615384615385,-379.098901098901,14601.3626373626,4510.02197802198,-101.747252747253,-253.296703296703
"2003-10-16",NA,613.758241758242,"14094.4945054945","9114.98901098901",-147.340659340659,-292.802197802198,14669.5714285714,3925.71428571429,-52.5934065934066,-169.175824175824
"2003-10-23",NA,581.978021978022,"14115.2967032967","8665.62637362637",1222.0989010989,1765.2967032967,14735.6703296703,2995.40659340659,313.637362637363,1836.59340659341
"2003-10-30",NA,588.428571428571,"14242.967032967","7996.10989010989",-160.076923076923,-408.659340659341,14629.1648351648,3498.18681318681,-176.373626373626,-412.252747252747
"2003-11-06",NA,575.186813186813,"14223.032967033","8786.31868131868",-293.274725274725,-472.340659340659,14583.2087912088,3286.01098901099,-194.901098901099,-409.384615384615
"2003-11-13",NA,550.021978021978,"14222.010989011","8860.78021978022",-247.659340659341,-486.318681318681,14663.2857142857,3159.81318681319,-131.648351648352,-344.714285714286
"2003-11-20",NA,553.296703296703,"14218.2307692308","8769.84615384615",-228.472527472527,-441.516483516484,14639.8241758242,2570.07692307692,-175.351648351648,-415.340659340659
"2003-11-27",NA,573.153846153846,"14284.4725274725","9126.08791208791",1086.15384615385,1607.84615384615,14640.967032967,2692.17582417582,126.087912087912,1710.87912087912
"2003-12-04",NA,594.186813186813,"14318.967032967","8769.30769230769",-228.736263736264,-580.725274725275,14698.7362637363,3058.92307692308,-153.681318681319,-409.934065934066
"2003-12-11",NA,604.32967032967,"14189.4615384615","7940.07692307692",-399.945054945055,-725.186813186813,14556.0879120879,2510.75824175824,-174.725274725275,-429.494505494506
"2003-12-18",NA,581.417582417582,"14085.5494505494","8400.53846153846",-249.549450549451,-541.252747252747,14589.4065934066,2765.36263736264,-158.505494505495,-391.230769230769
"2003-12-25",NA,554.10989010989,"14072.4945054945","7731.28571428571",-362.241758241758,-692.538461538462,14574.7472527473,2786.16483516484,-215.879120879121,-395.725274725275
"2004-01-01",TRUE,538,"14121.1208791209","7077.64835164835",610.208791208791,1445.32967032967,14613.0769230769,1790.79120879121,46.0989010989011,1662.52747252747
"2004-01-08",TRUE,533.681318681319,"14116.2967032967","7330.73626373626",-314.032967032967,-660.978021978022,14725.967032967,1756.52747252747,-253.582417582418,-446.274725274725
"2004-01-15",TRUE,533.857142857143,"14159.7692307692","7274.34065934066",759.241758241758,1413.36263736264,14549.8461538462,876.263736263736,-26.3956043956044,1730.16483516484
"2004-01-22",TRUE,553.989010989011,"14108.6483516484","8053.54945054945",-306.505494505494,-600.032967032967,14601.6043956044,1871.49450549451,-199.043956043956,-370.153846153846
"2004-01-29",TRUE,569.406593406593,"14036.7802197802","8279.34065934066",-351.021978021978,-547.89010989011,14602.7142857143,2060.87912087912,-206.307692307692,-394.472527472527
"2004-02-05",TRUE,590.923076923077,"13999.8461538462","8125.87912087912",-330.153846153846,-623.989010989011,14610.8241758242,2059.48351648352,-224.285714285714,-407.494505494506
"2004-02-12",TRUE,609.978021978022,"13998.043956044","8033.15384615385",-315,-594.725274725275,14683.7032967033,2072.73626373626,-115.901098901099,-279.956043956044
