"date","lab","Milagrosmid_surface_elevation","Milagrosmid_water_temp_0","Milagrosmid_salinity_0","Milagrosmid_velocity_u_0","Milagrosmid_velocity_v_0","Milagrosmid_pr_wtr","Milagrosmid_precipitationCal","Milagrosright_surface_elevation","Milagrosright_water_temp_0","Milagrosright_salinity_0","Milagrosright_velocity_u_0","Milagrosright_velocity_v_0","Milagrosright_water_temp_100","Milagrosright_salinity_100","Milagrosright_velocity_u_100","Milagrosright_velocity_v_100","Milagrosleft_surface_elevation","Milagrosleft_water_temp_0","Milagrosleft_salinity_0","Milagrosleft_velocity_u_0","Milagrosleft_velocity_v_0","Milagrosleft_water_temp_100","Milagrosleft_salinity_100","Milagrosleft_velocity_u_100","Milagrosleft_velocity_v_100"
"2003-03-27",NA,628.792207792208,"14520.2532467532","7009.22727272727","-136.136363636364","25.7857142857143",39.4285736083984,0.0139652187897203,615.004761904762,"14543.1333333333","7080.7619047619","-156.409523809524","36.3380952380952","14581.0714285714","6626.25","-8.64285714285714","-101.758928571429",614.253246753247,"14470.1298701299","6826.22727272727","-253.415584415584","33.8506493506493","14554.4047619048","4595.36904761905","10.3809523809524","9.20238095238095"
"2003-04-03",NA,618.902597402597,"14582.1818181818","7446.78571428571","-137.772727272727","31.8181818181818",37.0749969482422,0.015563599486389,607.609523809524,"14564.7904761905","7413.7380952381","-156.028571428571","1.4","14600.7410714286","7017.51785714286","-6.20535714285714","-77.4910714285714",606.123376623377,"14482.4350649351","7373.63961038961","-260.902597402597","46.1818181818182","14572.7142857143","4417.34523809524","-17.6071428571429","-16.1428571428571"
"2003-04-10",NA,652.720779220779,"14569.6688311688","8422.61688311688","-68.5584415584416","37.8376623376623",34.6714286804199,0.00140373539416032,644.028571428571,"14583.9904761905","7936.89523809524","-90.552380952381","34.5761904761905","14630.8125","7136.60714285714","-16.3839285714286","-96.5625",632.220779220779,"14486.2337662338","8045.23051948052","-152.814935064935","75.3116883116883","14566.4285714286","4602.47619047619","14.6904761904762","20.047619047619"
"2003-04-17",NA,660.487012987013,"14564.7142857143","8483.97402597403","1137.55844155844","2105.62337662338",35.4428558349609,0.00105654913398515,647.871428571429,"14589.5952380952","8086.79523809524","1069.6","2129.81904761905","14669.1875","7090.45535714286","1002.38392857143","2003.375",646.577922077922,"14471.7532467532","8357.46103896104","1019.46103896104","2125.95779220779","14562.1785714286","4172.82142857143","588.559523809524","2113.27380952381"
"2003-04-24",NA,650.305194805195,"14557.0974025974","8733.51298701299","-19.6948051948052","1.92207792207792",45.0357131958008,0.0149903411358537,648.942857142857,"14622.0619047619","7943.29523809524","-45.9047619047619","-57.9809523809524","14662.4642857143","7111.45535714286","-17.4642857142857","-84.5625",637.344155844156,"14487.5162337662","8600.73051948052","-104.366883116883","14.5097402597403","14578.3928571429","4352.47619047619","1.79761904761905","1.57142857142857"
"2003-05-01",NA,649.512987012987,"14561.8506493507","9074.29220779221","2505.38961038961","4180.14285714286",39.9678573608398,0.0883693767090638,634.014285714286,"14622.7095238095","8006.07619047619","2163.15238095238","4196.60476190476","14656.6160714286","7016.3125","1997.96428571429","4150.3125",632.600649350649,"14483.3279220779","8882.99350649351","2360.63961038961","4198.50974025974","14592.8928571429","4016.72619047619","1199.46428571429","4192.20238095238"
"2003-05-08",NA,653.707792207792,"14570.1363636364","9474.73376623377","-62.7792207792208","17.7012987012987",40.8250007629395,0.00319271935538078,643.2,"14613.3523809524","8429.35238095238","-104.304761904762","-3.27619047619048","14641.8035714286","7431.14285714286","-17.5446428571429","-40.9553571428571",636.743506493507,"14494.4707792208","9188.78896103896","-173.733766233766","96.6038961038961","14586.5238095238","4134.0119047619","23.7857142857143","10.6666666666667"
"2003-05-15",NA,680.954545454545,"14579.1233766234","9695.44805194805","-134.298701298701","23.525974025974",45.2392845153809,0.137038686374823,669.914285714286,"14596.0476190476","8565.90952380952","-163.309523809524","53.0619047619048","14613.5267857143","8083.63392857143","-20.5178571428571","-51.0982142857143",663.785714285714,"14500.8928571429","9443.8474025974","-318.314935064935","77.4090909090909","14571.4880952381","4897.35714285714","27.9285714285714","-0.154761904761904"
"2003-05-22",NA,692.344155844156,"14550.0779220779","9776.9025974026","-42.2922077922078","29.5779220779221",51.6464309692383,0.220842302590609,685.819047619048,"14555.319047619","8673.7","-35.7190476190476","46.2142857142857","14617.2410714286","8177.5","-16.3125","-56.1517857142857",682.396103896104,"14495.9318181818","9595.03246753247","-126.12987012987","75.7142857142857","14557.4047619048","5657.88095238095","-18.547619047619","13.7619047619048"
"2003-05-29",NA,767.623376623377,"14482.5584415584","9855.52597402597","96.3246753246753","30.1818181818182",51.0821418762207,0.259336873888969,748.261904761905,"14599.5857142857","8618.58571428571","131","12.0333333333333","14615.4553571429","8437.30357142857","-13.7589285714286","-61.4107142857143",742.487012987013,"14477.1038961039","9470.93181818182","73.3376623376623","38.8571428571429","14548.3214285714","6734.17857142857","-63.8928571428571","-0.297619047619048"
"2003-06-05",NA,783.590909090909,"14448.4805194805","9493.27272727273","43.4675324675325","50.9090909090909",45.2821426391602,0.007465656590648,767.423809523809,"14572.1714285714","8878.24761904762","63.6952380952381","24.0333333333333","14582.7767857143","8765.94642857143","-12.8839285714286","-56.2767857142857",755.457792207792,"14490.4058441558","8797.86688311688","26.6233766233766","34.6298701298701","14529.75","6967.03571428571","-71.4047619047619","-44.3571428571429"
