"date","lab","MatarianoBayin_surface_elevation","MatarianoBayin_water_temp_0","MatarianoBayin_salinity_0","MatarianoBayin_velocity_u_0","MatarianoBayin_velocity_v_0","MatarianoBayin_pr_wtr","MatarianoBayin_precipitationCal","MatarianoBayfar_surface_elevation","MatarianoBayfar_water_temp_0","MatarianoBayfar_salinity_0","MatarianoBayfar_velocity_u_0","MatarianoBayfar_velocity_v_0","MatarianoBayfar_water_temp_100","MatarianoBayfar_salinity_100","MatarianoBayfar_velocity_u_100","MatarianoBayfar_velocity_v_100"
"2003-03-27",NA,742.928571428571,"14483.4642857143","7455.07142857143","-75.6071428571429","-40.75",41.2892837524414,0.0254039152059704,712.732142857143,"14487.25","7555.21428571429","-68.125","-327.446428571429","14606.25","4037.94642857143","154.535714285714","-466.125"
"2003-04-03",NA,724.892857142857,"14515.8571428571","7621.71428571429","-54.5357142857143","-3.46428571428572",39.625,0.013426351477392,701.321428571429,"14563.75","7679.44642857143","-57.1785714285714","-206.107142857143","14596.5178571429","3860.41071428571","91.0357142857143","-346.928571428571"
"2003-04-10",NA,719.321428571429,"14549.0357142857","8076.21428571429","-56.5357142857143","35.2857142857143",37.3464279174805,0.00935266749002039,706.553571428571,"14524.125","8408.125","-83.3928571428571","-8.39285714285714","14647.2857142857","3759.01785714286","75.8571428571429","-292.625"
"2003-04-17",NA,730.607142857143,"14534.8214285714","7984.42857142857","1096.10714285714","2093.42857142857",37.9678573608398,0.00145493038144195,714.303571428571,"14506.5178571429","8365.16071428571","1156.44642857143","2016.57142857143","14538.1607142857","3496","545.821428571429","1747.375"
"2003-04-24",NA,756.714285714286,"14555","8412.03571428571","13.3928571428571","-23.2142857142857",49.7000007629395,0.0108019420003984,735.535714285714,"14564.6428571429","8492.16071428571","82.2321428571429","-347.964285714286","14411.3392857143","3368.57142857143","147.785714285714","-440.982142857143"
"2003-05-01",NA,720.178571428571,"14481","8229.57142857143","2338","4083.92857142857",42.2964286804199,0.502410016953945,689.785714285714,"14473.375","8536.07142857143","2457.14285714286","3879.16071428571","14453.5535714286","3356.23214285714","985.303571428571","3755.55357142857"
"2003-05-08",NA,739.821428571429,"14410.6071428571","8837.14285714286","-19.1785714285714","-52.3928571428571",43.9678573608398,0.0832990761846304,713.071428571429,"14444.8571428571","8960.01785714286","41.3571428571429","-443.375","14445.625","3289.19642857143","136.125","-538.839285714286"
"2003-05-15",NA,748.571428571429,"14490.6071428571","9020.96428571429","-79.0357142857143","-43.1785714285714",48.1107139587402,0.326286569237709,722.767857142857,"14517.4285714286","9184.78571428571","-38.5","-396.25","14714.2142857143","3910.08928571429","98.4821428571429","-491.178571428571"
"2003-05-22",NA,781.107142857143,"14386.5714285714","8738.67857142857","-1.21428571428571","-41.1785714285714",53.9249992370605,0.282802291214466,756.767857142857,"14434.4821428571","9075.66071428571","21.5","-329.535714285714","14656.4642857143","4026.25","114.714285714286","-502.964285714286"
"2003-05-29",NA,775.464285714286,"14492.6071428571","8785.46428571429","25.0357142857143","10.7142857142857",51.3250007629395,0.0863325353711843,769.5,"14508.5892857143","9334.08928571429","79","-110.339285714286","14714.9642857143","4375.71428571429","11.9821428571429","-293.5"
"2003-06-05",NA,751.75,"14595.1785714286","7820.92857142857","-39.25","59.3214285714286",44.5999984741211,0.00173758361052023,744.017857142857,"14515.5714285714","8261.21428571429","3.57142857142857","111.303571428571","14738.5178571429","4349.51785714286","16.3214285714286","-78.4285714285714"
"2003-06-12",NA,725.714285714286,"14630.7857142857","8432.39285714286","1162.28571428571","2078.78571428571",46.3178558349609,0.009649198531406,710.321428571429,"14625.9107142857","8973.53571428571","1316.71428571429","1779.10714285714","14797","3745.73214285714","628.339285714286","1686.64285714286"
