"date","lab","bataanbay_surface_elevation","bataanbay_water_temp_0","bataanbay_salinity_0","bataanbay_velocity_u_0","bataanbay_velocity_v_0","bataanbay_pr_wtr","bataanbay_precipitationCal","bataandeep_surface_elevation","bataandeep_water_temp_0","bataandeep_salinity_0","bataandeep_velocity_u_0","bataandeep_velocity_v_0","bataandeep_water_temp_100","bataandeep_salinity_100","bataandeep_velocity_u_100","bataandeep_velocity_v_100"
"2003-03-27",NA,605.105590062112,"13442.3664596273","7085.31055900621","-70.1242236024845","-29.0993788819876",38.1857147216797,0.0236715264698432,616.02380952381,"13848.4952380952","6739.27142857143","-161.271428571429","44.4142857142857","14274.7362637363","1867.63736263736","-17.3406593406593","31.7197802197802"
"2003-04-03",NA,622.503105590062,"13521.8944099379","7902.80124223603","-60.7577639751553","-40.0310559006211",35.2071418762207,0.00153089293380617,630.271428571429,"13887.4095238095","7382.6619047619","-89.4285714285714","-120.866666666667","14238.7747252747","2069.34615384615","-27.4175824175824","11.510989010989"
"2003-04-10",NA,622.267080745342,"13558.3105590062","8572.85093167702","-55.639751552795","-28.7391304347826",35.6678581237793,0.00076293100164051,625.495238095238,"13869.3238095238","7830.60476190476","-73.2857142857143","-100.495238095238","14210.4395604396","2235.93956043956","-33.3791208791209","18.8021978021978"
"2003-04-17",NA,644.925465838509,"13628.0372670807","8823.3602484472","1254.24844720497","1916.11801242236",34.9214286804199,0.000544542314272702,653.928571428571,"13885.5952380952","8386.6","1172.8619047619","1911.2380952381","14196.3956043956","2632.7967032967","371.423076923077","2027.90659340659"
"2003-04-24",NA,648.360248447205,"13704.1118012422","9717.29813664596","-45.7826086956522","-30.7826086956522",41.5857124328613,0.0568921729922295,650.728571428571,"13922.5142857143","8594.11428571429","-15.5809523809524","-129.333333333333","14164.7582417582","2643.26373626374","-11.7252747252747","-21.1868131868132"
"2003-05-01",NA,636.049689440994,"13754.2795031056","10100.4534161491","2839.24844720497","3907.08695652174",39,0.0512977180478629,638.666666666667,"13969.2142857143","8518.3619047619","2325.59523809524","4059.47142857143","14146.5769230769","3174.13186813187","955.934065934066","4089.46153846154"
"2003-05-08",NA,642.88198757764,"13815.9316770186","10451.3167701863","-69.5900621118012","-23.1614906832298",38.3857116699219,0.0394918388337828,648.547619047619,"13975.0333333333","8623.81904761905","-119.638095238095","-145.228571428571","14174.9175824176","3442.52197802198","-14.3956043956044","5.65934065934066"
"2003-05-15",NA,671.521739130435,"13853.0869565217","10565.0931677019","-79.7701863354037","-39.0621118012422",41.6964263916016,0.0775635015103035,678.971428571429,"14012.7857142857","8436.59047619048","-180.5","-66.6952380952381","14158.8516483516","3651.25274725275","22.521978021978","-64.0934065934066"
"2003-05-22",NA,700.571428571429,"13825.8198757764","10616.5652173913","-58.8757763975155","-17.7080745341615",46.75,0.125137302977964,701.895238095238,"13989.9619047619","9269.42857142857","-6.92380952380952","-145.371428571429","14114.7912087912","4145.85714285714","-5.9010989010989","50.2747252747253"
"2003-05-29",NA,802.714285714286,"13590.7763975155","10253.2422360248","50.0869565217391","59.4472049689441",52.3214263916016,2.23684130311012,761.076190476191,"13823.9666666667","8840.56190476191","359.080952380952","-55.7857142857143","14056.2307692308","5043.65384615385","-47.7967032967033","19.0934065934066"
"2003-06-05",NA,829.552795031056,"12892.701863354","8985.68322981367","57.0124223602485","92.5590062111801",52.8107147216797,0.260621763765812,774.909523809524,"13622.719047619","7791.08571428571","242.919047619048","189.719047619048","13933.6703296703","5458.28021978022","-96.1758241758242","104.538461538462"
"2003-06-12",NA,674.850931677019,"12626.2236024845","9457.6149068323","1320.52173913043","1783.08695652174",39.9000015258789,0.0677069514524192,662.72380952381,"13726","8303.84285714286","1158.80952380952","1916.67142857143","14057.989010989","3512.63736263736","488.956043956044","2004.78571428571"
"2003-06-19",NA,701.590062111801,"12546.1552795031","9663.96273291926","9.54658385093168","0.608695652173913",44.8500022888184,0.849200165271759,683.185714285714,"13740.5","8238.37142857143","104.233333333333","-150.871428571429","14038.1923076923","4339.3956043956","-1.86813186813187","-2.36813186813187"
"2003-06-26",NA,654.993788819876,"12245.4347826087","9837.4347826087","-62.9689440993789","-20.5900621118012",44.7071418762207,0.236232522875071,649.804761904762,"13700.6904761905","8380.94761904762","-73.9857142857143","-31.0428571428571","13966.0824175824","3617.19230769231","-4.20879120879121","-47.4945054945055"
"2003-07-03",NA,670.434782608696,"12200.8695652174","10015.3788819876","-73.7763975155279","-51.4099378881988",39.4714279174805,0.152568556834012,661.947619047619,"13730.619047619","8414.44761904762","-128.22380952381","18.2904761904762","13940.3681318681","4363.32417582418","13.6648351648352","40.6098901098901"
"2003-07-10",NA,659.012422360248,"12044.7577639752","10230.8695652174","-77.2732919254658","-48.3540372670807",42.6749992370605,0.273416405543685,656.480952380952,"13655.180952381","8849.15238095238","-40.0476190476191","-93.6761904761905","13933.8626373626","4386.85164835165","14.7747252747253","4.86263736263736"
"2003-07-17",NA,665.757763975155,"11918.0745341615","10148.6335403727","-79.5962732919255","-45.5341614906832",41.9892845153809,0.18388401158154,667.514285714286,"13642.119047619","9585.62857142857","-46.3142857142857","-156.995238095238","14029.3736263736","4012.18681318681","16.0879120879121","-43.2307692307692"
"2003-07-24",NA,766.757763975155,"11757.0621118012","10124.7204968944","1472.74534161491","1679.59627329193",52.271427154541,0.915902943909168,720.885714285714,"13697.0476190476","8837.19047619048","1388.94285714286","2012.75238095238","13994.2417582418","4327.48901098901","603.467032967033","2028.18131868132"
