"date","lab","BaliteBay_surface_elevation","BaliteBay_water_temp_0","BaliteBay_salinity_0","BaliteBay_velocity_u_0","BaliteBay_velocity_v_0","BaliteBay_water_temp_100","BaliteBay_salinity_100","BaliteBay_velocity_u_100","BaliteBay_velocity_v_100","BaliteBay_surface_elevationanno","BaliteBay_water_temp_0anno","BaliteBay_salinity_0anno","BaliteBay_velocity_u_0anno","BaliteBay_velocity_v_0anno","BaliteBay_water_temp_100anno","BaliteBay_salinity_100anno","BaliteBay_velocity_u_100anno","BaliteBay_velocity_v_100anno","sday"
2003-03-27,NA,-1.61426304235547,0.731825655870573,-2.31730187709364,-1.7284689865192,-1.53509284529399,-0.492287493278992,-1.88262710650488,-0.0409144433054572,-0.332545214219481,-1.49614428026837,0.769455155363486,-1.4344390713765,-1.20609212003409,-1.13327211913871,-0.399284316876268,-1.6350198826524,-0.128268680145143,-0.513023109207418,0.996127183521316
2003-04-03,NA,-1.38780343070492,0.864414068241015,-2.04589209464005,-0.60972064860844,-0.547208074912494,0.20276759354717,-1.42579982662838,-0.00548216059704925,0.408430690291055,-1.31179984266147,0.854602884740417,-1.34439232333809,-0.144063576626815,-0.221054149699499,0.315358346452198,-1.21184252056142,-0.098219913745778,0.18875204388055,0.999466972470847
2003-04-10,NA,-1.52561642664169,0.892805219777788,-1.55459848525942,0.655800556455609,0.41100694794697,-0.505418172509343,-1.67868738306436,-1.00509706723675,-0.196884935477412,-1.49034598987316,0.835778581298772,-1.04758936874833,1.05889876570974,0.657677147816242,-0.376016797575379,-1.49956389554062,-1.09849887035319,-0.44887940375543,0.988266195306906
2003-04-17,NA,-1.28223671406653,1.32694119887826,-0.806287910960585,1.06985628927423,0.914107323798847,0.587308913873595,-0.886827563369032,0.302141897571721,0.511767419471643,-1.28574785015392,1.22399794859229,-0.498846634347931,1.40536433521132,1.0790418840778,0.729695325031301,-0.742944096808329,0.212927888573448,0.236081011158125,0.962687804528535
2003-04-24,NA,-1.15876902108758,1.00006710592999,-0.0726848418072226,1.48391202209285,1.41720769965072,-0.331436672703102,-0.27546826699222,1.60938086238019,1.2204197744207,-1.19870879417678,0.853535405714315,0.0381146063815349,1.74763350470465,1.49967741826733,-0.180771258862253,-0.166571179895879,1.52906611481241,0.930992331247058,0.923103922769531
2003-05-01,NA,-1.24435040112661,1.58749217408169,-0.238723962396544,1.35500787885686,1.42007291895114,-0.256002260388455,-1.03336208454874,1.579745105184,1.62583150629925,-1.3181292267648,1.40064927522753,-0.314095737013034,1.54360472350076,1.42078742679232,-0.102423367671518,-0.958673914438931,1.51263459424974,1.33345294048816,0.870090429039005
2003-05-08,NA,-1.01936210259994,1.92032204830922,0.867717674695578,1.22610373562088,1.42293813825155,-0.472658467694284,-0.381641663988805,1.5501093479878,2.03124323817781,-1.12430503067991,1.69728197859044,0.623350616209072,1.33711773358863,1.34392711463607,-0.321929409785297,-0.340005696689781,1.4998573720492,1.74700530880694,0.80441858064883
2003-05-15,NA,-0.888047406293634,1.64994114283864,1.16571027894924,0.643915777292007,0.673482458065137,-0.285479295396234,-0.434929557337935,0.771742105264594,1.5876798548751,-1.02152321068776,1.39551568329771,0.77506119329747,0.675789482855389,0.517949934472024,-0.14347315649607,-0.424953141590785,0.741144078240921,1.32241965718454,0.727043792714877
2003-05-22,NA,-0.921151951580939,1.52313504239015,-0.196721447701836,1.97999766424345,1.13555932019522,0.329719823863988,-0.507711794626675,0.491222926955703,1.07624150064857,-1.0806729352344,1.24267459699255,-0.706828703589171,1.93209519785314,0.907719905074393,0.45731853393836,-0.527899009650796,0.482055138569499,0.839996544310614,0.639091738471438
2003-05-29,NA,-1.12799405491309,1.63068604413874,-0.703931625150925,2.10549428338358,1.78465199161578,0.866201861001663,-1.11611783801448,1.01862510736182,1.22562023454432,-1.31128155985879,1.3299078743528,-1.30416389778603,1.97812184242196,1.48955817186145,0.974189229281234,-1.16498308921051,1.03154169371508,1.02712542591877,0.541841972615933
2003-06-05,NA,-0.707321110910362,1.56413163391677,-0.846451987512127,1.94766774050471,2.2339826445216,0.615647063437373,-0.502315461306124,0.837218351191174,1.06808215804081,-0.912334081973336,1.24894339232419,-1.50664942345349,1.7420928676385,1.87735211725573,0.699569124907108,-0.578471044802425,0.871711435983388,0.914336641927629,0.436709315936734
2003-06-12,NA,-0.669925235678412,0.522563787415155,0.208861194192555,2.03377005668297,2.09803200537959,-0.596729987771281,-0.198647761626047,0.788315269757232,1.22642720249454,-0.894851682720303,0.198890316832143,-0.481981673746449,1.75223801599781,1.68608328915299,-0.540345683009536,-0.300860311831357,0.842740609705847,1.12235505978514,0.325223272046501
2003-06-19,NA,-1.48822055140974,0.662090974092035,-1.85986202955684,2.11987237286123,1.96208136623759,-0.391261655116265,-0.799861089096582,0.73941218832329,1.38477224694827,-1.73143423832064,0.335711942981967,-2.55442653394571,1.76561738723062,1.50138478452393,-0.364725267978355,-0.9270739911999,0.811078894285209,1.33299571356059,0.20900577567301
2003-06-26,NA,-1.38510602331114,0.586573980391021,0.562768818008253,-0.198573777822874,0.226829580206432,-0.177620144573139,-1.11562203641779,-0.192113953849128,0.398388422466131,-1.64509303413468,0.262979127449493,-0.112346356226538,-0.62132512270748,-0.275820821201446,-0.181959726050394,-1.26694321722079,-0.106794728831403,0.399125898798363,0.0897475962324645
