"date","lab","MatarianoBayin_surface_elevation","MatarianoBayin_water_temp_0","MatarianoBayin_salinity_0","MatarianoBayin_velocity_u_0","MatarianoBayin_velocity_v_0","MatarianoBayin_pr_wtr","MatarianoBayin_precipitationCal","MatarianoBayfar_surface_elevation","MatarianoBayfar_water_temp_0","MatarianoBayfar_salinity_0","MatarianoBayfar_velocity_u_0","MatarianoBayfar_velocity_v_0","MatarianoBayfar_water_temp_100","MatarianoBayfar_salinity_100","MatarianoBayfar_velocity_u_100","MatarianoBayfar_velocity_v_100","MatarianoBayin_surface_elevationanno","MatarianoBayin_water_temp_0anno","MatarianoBayin_salinity_0anno","MatarianoBayin_velocity_u_0anno","MatarianoBayin_velocity_v_0anno","MatarianoBayin_pr_wtranno","MatarianoBayin_precipitationCalanno","MatarianoBayfar_surface_elevationanno","MatarianoBayfar_water_temp_0anno","MatarianoBayfar_salinity_0anno","MatarianoBayfar_velocity_u_0anno","MatarianoBayfar_velocity_v_0anno","MatarianoBayfar_water_temp_100anno","MatarianoBayfar_salinity_100anno","MatarianoBayfar_velocity_u_100anno","MatarianoBayfar_velocity_v_100anno","sday"
2003-03-27,NA,-1.08168827398943,1.15043442957667,-1.55936508310717,-0.900312870579457,-0.44969700123363,-1.04076799672524,-0.81360454196721,-1.30904519981005,1.22957461673236,-1.58644725753466,-0.251963155915746,-1.02550670857507,-0.717109488151893,-1.27032659581174,1.12982864930879,-1.57927165628836,-1.01122168045469,1.14910887923357,-0.818079492767191,-0.34079045803434,-0.422963509367756,-0.0548924270131441,-0.616902149986533,-1.20229974864165,1.16717320201869,-0.743540973147169,0.306302520301028,-1.1534202434565,-0.609335031286172,-1.02519373310593,1.16218327784138,-1.59404876455455,0.996127183521316
2003-04-03,NA,-1.2997226488883,1.3179361323675,-1.35494587984265,-0.507418853250515,0.240032123867309,-1.31825342355836,-0.837867474669436,-1.44051194546845,1.62122079825091,-1.4295800472795,-0.16630612811441,-0.51835373544883,-0.763107991740593,-1.41436155164128,0.180064036727451,-0.825670637528414,-1.29391470877928,1.27275945472826,-0.791671202185787,0.00607272449595664,0.170261173521809,-0.351890414488017,-0.570523338480985,-1.40120552828794,1.54033087885694,-0.770420584544084,0.355577496434323,-0.703833169456829,-0.668520496187683,-1.18828682916555,0.229786959914738,-0.841664539772266,0.999466972470847
2003-04-10,NA,-1.36707584192636,1.48950072100377,-0.797415065281103,-0.544710488793601,0.956848312310335,-1.69815892101964,-0.84611953015213,-1.38023063642635,1.41835831534016,-0.509481817917376,-0.371435845589714,0.308018261380265,-0.523156164762413,-1.4966217084709,-0.0469606878772,-0.482344690255162,-1.42524321645982,1.39951844827737,-0.419426991762234,-0.0828046306692239,0.795729264554687,-0.778375117477996,-0.523108182782137,-1.4083420599941,1.31734081578701,-0.0447501232260847,0.108572415919316,0.0702207009629514,-0.443834443523507,-1.29362055521502,0.0172869363272872,-0.497739863351747,0.988266195306906
2003-04-17,NA,-1.23064245090053,1.41599942253527,-0.910007725458949,0.107227211147134,0.415767705550116,-1.59454821516238,-0.862117964250051,-1.29094023327181,1.32821752753056,-0.563732573684799,0.276581228519088,-0.40162272000079,-1.03893021142627,-1.71000843794317,0.490954365480172,-0.951327256836255,-1.35206376745486,1.28142988661012,-0.718493472624211,0.511704317023269,0.171715513507565,-0.748516918173063,-0.499355716125417,-1.38621692348448,1.20585281634147,-0.297713970984539,0.708792435765463,-0.684600996279929,-0.976270599685123,-1.53507326012424,0.565245984913931,-0.963998633110758,0.962687804528535
2003-04-24,NA,-0.915032296343944,1.52034171809991,-0.385466122225774,0.759164911087868,-0.125312901210104,0.361547802012275,-0.843183736971714,-1.04631744674935,1.62579183211573,-0.403370406179447,0.92459830262789,-1.11126370138184,-1.63834557379018,-1.81339140362408,1.02886941883754,-1.42030982341735,-1.09894853349518,1.34263694095271,-0.37574505621814,1.1001184009805,-0.441096444070103,1.10774675155338,-0.456650672003115,-1.20826684318099,1.48145253879959,-0.334023262088719,1.30268895210332,-1.43071139456955,-1.59302645435706,-1.67229820143987,1.10735738421775,-1.42796373546892,0.923103922769531
2003-05-01,NA,-1.35671381222821,1.13769174215367,-0.609293320999535,0.455504450237026,-0.395192544508699,-0.872847087918085,0.152665995808981,-1.57341885891969,1.15854075047655,-0.347924600513571,0.764672579432737,-1.31065430737253,-1.43882178941549,-1.82340228216746,0.94166521579823,-1.72965316295326,-1.60227838451154,0.919546502543674,-0.771305531064856,0.726690293433995,-0.769322549343459,-0.250283987419731,0.547775314082532,-1.80126085993417,0.992339654808811,-0.467239873473357,1.08201304062086,-1.65667790296162,-1.41080606093805,-1.72243708458742,1.01749551702759,-1.72998276186464,0.870090429039005
2003-05-08,NA,-1.11925063164526,0.773694105768298,0.13600875485471,0.151843989386184,-0.665072187807295,-0.594170389832744,-0.696326402068182,-1.30513617294383,1.01254192884114,0.187390109658618,0.604746856237583,-1.51004491336322,-1.47629579967888,-1.87778844432638,0.854461012758916,-2.03899650248918,-1.425433419283,0.519001309520908,-0.183022664600083,0.347035685897133,-1.08268212999007,-0.115668322324488,-0.30627730064642,-1.59772048260039,0.825444755575728,-0.107237278906577,0.854564556975069,-1.87201526087761,-1.46487054051043,-1.82340849964547,0.920203106388902,-2.02984233496244,0.80441858064883
2003-05-15,NA,-1.0134715784765,1.1873697554399,0.361500747825659,-0.964241388653318,-0.494621886776603,0.0965665891772776,-0.204107005450614,-1.19342029987261,1.38407556135584,0.471203186485081,-0.0201442177062579,-1.31307998384444,-0.206821501549026,-1.37405726204987,0.291439695739381,-1.73766899401423,-1.37892455060531,0.901123077269603,-0.0960993314936106,-0.851028895449163,-0.940123282686107,0.414922112371963,0.169456232373015,-1.54911530656307,1.17797043049648,0.0191010547215505,0.155459652776099,-1.68010978755937,-0.210671992579418,-1.37250621171887,0.339560244984869,-1.7171750620195,0.727043792714877
2003-05-22,NA,-0.620146201183686,0.649406734237577,0.0152235548117852,0.486802787210687,-0.457624922211802,1.06598026627264,-0.292193041575427,-0.801694660226899,0.959426515334543,0.333411678382549,0.44936249259144,-1.03423914387393,-0.479774089817871,-1.27981592351928,0.534222607110712,-1.81218235317252,-1.04304121184527,0.337554307131509,-0.559814361209729,0.512562621360258,-0.915482758535439,1.21321175107266,0.0561666330976834,-1.21825684562265,0.737144217025725,-0.254872413653139,0.544418117254413,-1.39566575076656,-0.497087441838641,-1.33671537036338,0.557575110476309,-1.77893818276787,0.639091738471438
2003-05-29,NA,-0.688362896696599,1.19771164668169,0.0726151442409622,0.976255503713691,0.50231417622849,0.632483463039052,-0.690181528388847,-0.655003283615872,1.33882232609628,0.659727944993564,0.899306423293401,-0.118079799484738,-0.203276662740339,-0.996295094150531,-1.00233414659583,-0.48787674267752,-1.16621451132099,0.866967191531402,-0.597183356592109,0.909902710193987,0.0468332591303021,0.603254697285037,-0.372720017449114,-1.12943797167008,1.1041043715,-0.0411394063609243,0.908147615178176,-0.463927503896941,-0.231868657889922,-1.11623686188648,-1.01003292463693,-0.441036745859479,0.541841972615933
