"","mindorosal","mindorotemp","sibuyantemp","sibuyansal","sibuyanvelu","sibuyanvelv","southsibuyansal","southsibuyantemp","southsibuyanvelu","southsibuyanvelv","surigaosal","surigaotemp","surigaovelu","surigaovelv","tablassal","tablastemp","tablasvelu","tablasvelv","visayansal","visayantemp","visayanvelu","visayanvelv","mindorovelu","mindorovelv"
"1",13532.5464031267,28.3153304569257,27.5160601501869,14127.5023758998,-149.363627024119,-6.91768159122995,14074.3465564653,27.6809712543074,-142.873786340468,-15.0200919593145,14241.0068482628,27.9852242208764,-301.547041846801,-139.488447816267,14007.4510685334,27.3843902571327,-112.290987583575,-171.345283586635,14266.3595111988,27.5645481492573,-144.052562283602,5.58968726111678,55.2885459028227,-152.32096028846
"2",13535.3645577949,28.2903851389577,27.4801596497388,14129.8593125624,-149.581791366111,-6.93954600068329,14076.6128941444,27.6465646213341,-143.400591924462,-14.9732359246918,14242.3748472572,27.9598981862264,-304.849989061721,-140.901660097153,14010.2741387674,27.3483924447346,-112.614396954435,-171.066005227642,14268.8810728371,27.5340044105449,-145.268499155818,5.41516495175111,54.0381630733783,-151.32813926473
"3",13538.2068162647,28.2656069758215,27.4446345505713,14132.2379654741,-149.780416598752,-6.94798976753039,14078.8704793193,27.6123985720298,-143.900707771659,-14.9022506932877,14243.7525451023,27.9347571399966,-308.153213067659,-142.323328272193,14013.1112800532,27.3127050313359,-112.917115680928,-170.74640916997,14271.3809210822,27.5038189479672,-146.464858410794,5.2599093610948,52.7480178355457,-150.285652939457
"4",13541.0733145577,28.2410223712556,27.4095174099658,14134.6376297887,-149.960659062442,-6.94301038970089,14081.1185970568,27.5785038803865,-144.374736283655,-14.8072959956899,14245.1394349924,27.9098198959204,-311.45561516389,-143.752483864355,14015.9616516844,27.2773605347627,-113.199707938325,-170.387408250914,14273.858470334,27.4740157993484,-147.641955581167,5.12404685614759,51.4176079986485,-149.193742117124
"5",13543.9642071109,28.2166576536998,27.3748406354782,14137.0575944338,-150.123668598041,-6.92460934269193,14083.3565692952,27.5449112999115,-144.823287472185,-14.6885507788898,14246.535005499,27.8851052168413,-314.756078625391,-145.188149636184,14018.8244090346,27.242391394026,-113.462740009714,-169.98993455728,14276.3131648712,27.4446188435032,-148.800103468995,5.00769135167315,50.0464804481367,-148.052676446435
"6",13546.8796655417,28.1925390459232,27.3406364492598,14139.4971423217,-150.270586780057,-6.89279207913085,14085.5837550596,27.5116515299694,-145.2469778889,-14.546212974517,14247.9387408416,27.8606317956734,-318.053469197484,-146.629340535677,14021.6987038068,27.2078299336755,-113.706779347789,-169.554938170572,14278.7444788048,27.4156517753271,-149.93961126894,4.91094418914694,48.6342322841251,-146.862754404313
"7",13549.8198773777,28.1686926347312,27.306936852498,14141.9555505617,-150.402545168132,-6.84756802715951,14087.7995506251,27.4787551820982,-145.646429554404,-14.3804992473029,14249.3501211614,27.836418236387,-321.346635617139,-148.075064651457,14024.5836842856,27.173708328191,-113.932393641784,-169.083385899009,14281.1519159946,27.3871380810157,-151.060783703447,4.83389402748086,47.1805118998375,-145.624303254436
"8",13552.7850447556,28.1451443407883,27.2737735900184,14144.4320906744,-150.520663579015,-6.78895058764055,14090.0033896297,27.446252746338,-146.022268887916,-14.1916447240769,14250.7686227988,27.8124830350415,-324.634410160545,-149.524324176159,14027.4784955889,27.1400585664538,-114.14014989072,-168.576259997958,14283.5350099307,27.3591010134429,-152.163920171098,4.77661674565082,45.6850199985004,-144.337678980292
"9",13555.7753830888,28.1219198885907,27.2411781150891,14146.9260288075,-150.626048381186,-6.71695713018633,14092.1947431344,27.4141745576133,-146.375125638933,-13.9799027036194,14252.1937185736,27.7888445608873,-327.915609216561,-150.976116376968,14030.3822799217,27.1069124163374,-114.330613484153,-168.034556880309,14285.8933235791,27.3315635677255,-153.249313909288,4.73917535734058,44.147510547304,-143.003266192729
"10",13558.791119707,28.0990447766251,27.2091815544699,14149.4366259533,-150.719790814271,-6.63160898801207,14094.3731196336,27.3825507622054,-146.705631822243,-13.7455443477205,14253.6248780674,27.7655210375571,-331.189033885593,-152.429434572201,14033.29417683,27.0743013894614,-114.50434729157,-167.459285818371,14288.2264491922,27.3045484570016,-154.317251172373,4.72161993770145,42.5677916671208,-141.621478012004
