"","lon","lat","water_temp_10","date","day"
"1",124.910740256819,9.5670577758729,27.3217142857143,2010-01-01,1
"2",125.000571785231,9.5670577758729,27.3744285714286,2010-01-01,1
"3",125.090403313643,9.5670577758729,27.3024285714286,2010-01-01,1
"4",125.180234842055,9.5670577758729,27.1791428571429,2010-01-01,1
"5",125.270066370467,9.5670577758729,26.9278571428571,2010-01-01,1
"6",125.359897898879,9.5670577758729,26.5932857142857,2010-01-01,1
"7",124.910740256819,9.65688930428486,27.1688571428571,2010-01-01,1
"8",125.000571785231,9.65688930428486,27.3485714285714,2010-01-01,1
"9",125.090403313643,9.65688930428486,27.3904285714286,2010-01-01,1
"10",125.180234842055,9.65688930428486,27.418,2010-01-01,1
"11",125.270066370467,9.65688930428486,27.3398571428571,2010-01-01,1
"12",125.359897898879,9.65688930428486,27.2115714285714,2010-01-01,1
"13",124.910740256819,9.74672083269681,26.9942857142857,2010-01-01,1
"14",125.000571785231,9.74672083269681,27.239,2010-01-01,1
"15",125.090403313643,9.74672083269681,27.3147142857143,2010-01-01,1
"16",125.180234842055,9.74672083269681,27.3938571428571,2010-01-01,1
"17",125.270066370467,9.74672083269681,27.3888571428571,2010-01-01,1
"18",125.359897898879,9.74672083269681,27.3742857142857,2010-01-01,1
"19",124.910740256819,9.83655236110876,26.9034285714286,2010-01-01,1
"20",125.000571785231,9.83655236110876,27.0931428571429,2010-01-01,1
"21",125.090403313643,9.83655236110876,27.2011428571429,2010-01-01,1
"22",125.180234842055,9.83655236110876,27.3674285714286,2010-01-01,1
"23",125.270066370467,9.83655236110876,27.4324285714286,2010-01-01,1
"24",125.359897898879,9.83655236110876,27.4054285714286,2010-01-01,1
"25",124.910740256819,9.5670577758729,29.569,2015-08-04,216
"26",125.000571785231,9.5670577758729,29.538,2015-08-04,216
"27",125.090403313643,9.5670577758729,29.5138571428571,2015-08-04,216
"28",125.180234842055,9.5670577758729,29.5051428571429,2015-08-04,216
"29",125.270066370467,9.5670577758729,29.467,2015-08-04,216
"30",125.359897898879,9.5670577758729,29.3471428571429,2015-08-04,216
"31",124.910740256819,9.65688930428486,29.5501428571429,2015-08-04,216
"32",125.000571785231,9.65688930428486,29.543,2015-08-04,216
"33",125.090403313643,9.65688930428486,29.4854285714286,2015-08-04,216
"34",125.180234842055,9.65688930428486,29.4587142857143,2015-08-04,216
"35",125.270066370467,9.65688930428486,29.4544285714286,2015-08-04,216
"36",125.359897898879,9.65688930428486,29.4255714285714,2015-08-04,216
"37",124.910740256819,9.74672083269681,29.5548571428571,2015-08-04,216
"38",125.000571785231,9.74672083269681,29.5448571428571,2015-08-04,216
"39",125.090403313643,9.74672083269681,29.4854285714286,2015-08-04,216
"40",125.180234842055,9.74672083269681,29.426,2015-08-04,216
"41",125.270066370467,9.74672083269681,29.3948571428571,2015-08-04,216
"42",125.359897898879,9.74672083269681,29.3522857142857,2015-08-04,216
"43",124.910740256819,9.83655236110876,29.578,2015-08-04,216
"44",125.000571785231,9.83655236110876,29.5198571428571,2015-08-04,216
"45",125.090403313643,9.83655236110876,29.4921428571429,2015-08-04,216
"46",125.180234842055,9.83655236110876,29.4552857142857,2015-08-04,216
"47",125.270066370467,9.83655236110876,29.3795714285714,2015-08-04,216
"48",125.359897898879,9.83655236110876,29.2985714285714,2015-08-04,216
"49",124.910740256819,9.5670577758729,29.0974285714286,2016-11-09,314
"50",125.000571785231,9.5670577758729,29.085,2016-11-09,314
"51",125.090403313643,9.5670577758729,29.0358571428571,2016-11-09,314
"52",125.180234842055,9.5670577758729,28.999,2016-11-09,314
"53",125.270066370467,9.5670577758729,29.0187142857143,2016-11-09,314
"54",125.359897898879,9.5670577758729,29.145,2016-11-09,314
"55",124.910740256819,9.65688930428486,29.0291428571429,2016-11-09,314
"56",125.000571785231,9.65688930428486,29.0255714285714,2016-11-09,314
"57",125.090403313643,9.65688930428486,28.9308571428571,2016-11-09,314
"58",125.180234842055,9.65688930428486,28.7975714285714,2016-11-09,314
"59",125.270066370467,9.65688930428486,28.6974285714286,2016-11-09,314
"60",125.359897898879,9.65688930428486,28.7594285714286,2016-11-09,314
"61",124.910740256819,9.74672083269681,28.8664285714286,2016-11-09,314
"62",125.000571785231,9.74672083269681,29.0661428571429,2016-11-09,314
"63",125.090403313643,9.74672083269681,29.0721428571429,2016-11-09,314
"64",125.180234842055,9.74672083269681,28.9507142857143,2016-11-09,314
"65",125.270066370467,9.74672083269681,28.6345714285714,2016-11-09,314
"66",125.359897898879,9.74672083269681,28.4958571428571,2016-11-09,314
"67",124.910740256819,9.83655236110876,28.7684285714286,2016-11-09,314
"68",125.000571785231,9.83655236110876,29.0152857142857,2016-11-09,314
"69",125.090403313643,9.83655236110876,29.107,2016-11-09,314
"70",125.180234842055,9.83655236110876,29.166,2016-11-09,314
"71",125.270066370467,9.83655236110876,28.7645714285714,2016-11-09,314
"72",125.359897898879,9.83655236110876,28.4388571428571,2016-11-09,314
"73",124.910740256819,9.5670577758729,27.7784285714286,2016-01-05,5
"74",125.000571785231,9.5670577758729,27.7544285714286,2016-01-05,5
"75",125.090403313643,9.5670577758729,27.6622857142857,2016-01-05,5
"76",125.180234842055,9.5670577758729,27.5072857142857,2016-01-05,5
"77",125.270066370467,9.5670577758729,27.2367142857143,2016-01-05,5
"78",125.359897898879,9.5670577758729,26.8481428571429,2016-01-05,5
"79",124.910740256819,9.65688930428486,27.7157142857143,2016-01-05,5
"80",125.000571785231,9.65688930428486,27.8464285714286,2016-01-05,5
