"","lon","lat","velocity_u_10","velocity_v_10","vel","date","day"
"1",124.910740256819,9.5670577758729,-417.571428571429,-146.714285714286,442.59572929688,2010-01-01,1
"2",125.000571785231,9.5670577758729,-408.857142857143,-166.714285714286,441.540277128294,2010-01-01,1
"3",125.090403313643,9.5670577758729,-359.714285714286,-153.714285714286,391.1808392286,2010-01-01,1
"4",125.180234842055,9.5670577758729,-275,-130.142857142857,304.240305129524,2010-01-01,1
"5",125.270066370467,9.5670577758729,-167.857142857143,-94.7142857142857,192.735093655853,2010-01-01,1
"6",125.359897898879,9.5670577758729,-58.2857142857143,-47.4285714285714,75.1444866743464,2010-01-01,1
"7",124.910740256819,9.65688930428486,-323.142857142857,-90.1428571428571,335.480313604728,2010-01-01,1
"8",125.000571785231,9.65688930428486,-445.428571428571,-176.428571428571,479.096705333302,2010-01-01,1
"9",125.090403313643,9.65688930428486,-444.142857142857,-210.285714285714,491.409156593234,2010-01-01,1
"10",125.180234842055,9.65688930428486,-403.285714285714,-234.714285714286,466.6156483288,2010-01-01,1
"11",125.270066370467,9.65688930428486,-272,-230.714285714286,356.669429069346,2010-01-01,1
"12",125.359897898879,9.65688930428486,-105.285714285714,-185,212.861649041468,2010-01-01,1
"13",124.910740256819,9.74672083269681,-166.142857142857,-21.4285714285714,167.519051612231,2010-01-01,1
"14",125.000571785231,9.74672083269681,-341,-126.142857142857,363.583581048654,2010-01-01,1
"15",125.090403313643,9.74672083269681,-412.857142857143,-196.428571428571,457.203678989608,2010-01-01,1
"16",125.180234842055,9.74672083269681,-443,-252.142857142857,509.730340874627,2010-01-01,1
"17",125.270066370467,9.74672083269681,-360,-302.285714285714,470.081538736871,2010-01-01,1
"18",125.359897898879,9.74672083269681,-158.714285714286,-392.571428571429,423.441319453367,2010-01-01,1
"19",124.910740256819,9.83655236110876,-47,22.4285714285714,52.0772581490859,2010-01-01,1
"20",125.000571785231,9.83655236110876,-160.571428571429,-47,167.308647933899,2010-01-01,1
"21",125.090403313643,9.83655236110876,-246.285714285714,-118.714285714286,273.403977099598,2010-01-01,1
"22",125.180234842055,9.83655236110876,-348,-173.714285714286,388.948136724197,2010-01-01,1
"23",125.270066370467,9.83655236110876,-421,-153.857142857143,448.233221000143,2010-01-01,1
"24",125.359897898879,9.83655236110876,-368.857142857143,-585.857142857143,692.303534349977,2010-01-01,1
"25",124.910740256819,9.5670577758729,-85,-86,120.917327128911,2013-09-26,269
"26",125.000571785231,9.5670577758729,-53.8571428571429,-81.2857142857143,97.5087646505352,2013-09-26,269
"27",125.090403313643,9.5670577758729,-33.1428571428571,-81.8571428571429,88.3121781880989,2013-09-26,269
"28",125.180234842055,9.5670577758729,-26.2857142857143,-72.1428571428571,76.7823587306674,2013-09-26,269
"29",125.270066370467,9.5670577758729,-5.71428571428571,-53.7142857142857,54.0173819341553,2013-09-26,269
"30",125.359897898879,9.5670577758729,3.85714285714286,-22.4285714285714,22.7578199163922,2013-09-26,269
"31",124.910740256819,9.65688930428486,-2.85714285714286,-78,78.0523110824152,2013-09-26,269
"32",125.000571785231,9.65688930428486,25.7142857142857,-70.2857142857143,74.8418741243763,2013-09-26,269
"33",125.090403313643,9.65688930428486,18.8571428571429,-81.5714285714286,83.7226958232854,2013-09-26,269
"34",125.180234842055,9.65688930428486,3.28571428571429,-91,91.0592989121229,2013-09-26,269
"35",125.270066370467,9.65688930428486,15.8571428571429,-86.4285714285714,87.8711951595943,2013-09-26,269
"36",125.359897898879,9.65688930428486,14.2857142857143,-11.4285714285714,18.2946406783796,2013-09-26,269
"37",124.910740256819,9.74672083269681,94,-64.2857142857143,113.87999412199,2013-09-26,269
"38",125.000571785231,9.74672083269681,95.7142857142857,-49.2857142857143,107.658284040054,2013-09-26,269
"39",125.090403313643,9.74672083269681,99,-62.2857142857143,116.963713193801,2013-09-26,269
"40",125.180234842055,9.74672083269681,76.5714285714286,-87.1428571428571,116.004574153306,2013-09-26,269
"41",125.270066370467,9.74672083269681,59.4285714285714,-96.1428571428571,113.027448354958,2013-09-26,269
"42",125.359897898879,9.74672083269681,15.8571428571429,-18,23.9885176614112,2013-09-26,269
"43",124.910740256819,9.83655236110876,154.285714285714,-51,162.496404983781,2013-09-26,269
"44",125.000571785231,9.83655236110876,156.571428571429,-18.4285714285714,157.652226402915,2013-09-26,269
"45",125.090403313643,9.83655236110876,139.142857142857,-33.8571428571429,143.202796119093,2013-09-26,269
"46",125.180234842055,9.83655236110876,112.428571428571,-58.2857142857143,126.638888826716,2013-09-26,269
"47",125.270066370467,9.83655236110876,59.5714285714286,-44.5714285714286,74.4000493745722,2013-09-26,269
"48",125.359897898879,9.83655236110876,1.71428571428571,-90.7142857142857,90.7304822436388,2013-09-26,269
"49",124.910740256819,9.5670577758729,-496.392857142857,-50.3928571428571,498.944193947048,2021-01-10,10
"50",125.000571785231,9.5670577758729,-435.571428571429,-103.178571428571,447.625163490387,2021-01-10,10
"51",125.090403313643,9.5670577758729,-363.767857142857,-122.982142857143,383.994350677247,2021-01-10,10
"52",125.180234842055,9.5670577758729,-263.392857142857,-120.357142857143,289.588741201401,2021-01-10,10
"53",125.270066370467,9.5670577758729,-148.964285714286,-97.25,177.898625397633,2021-01-10,10
"54",125.359897898879,9.5670577758729,-45.75,-23.2678571428571,51.3269488282755,2021-01-10,10
"55",124.910740256819,9.65688930428486,-663.214285714286,-39.4464285714286,664.38634054483,2021-01-10,10
"56",125.000571785231,9.65688930428486,-667.928571428571,-169.75,689.161547846811,2021-01-10,10
