"","error","epoch","lookback","var","dropout","layer","mse","cut"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",5.0626940864381,29,2,3,1,1,0.0626940864381025,2
"3",3.09201789835421,3,2,3,1,2,0.0920178983542126,2
"4",4.0611324672957,38,2,3,1,3,0.0611324672956988,2
"5",2.10736702480457,18,2,3,1,4,0.10736702480457,2
"6",6.10470847175139,6,2,3,1,5,0.104708471751394,2
"7",6.07906027625713,6,2,3,1,6,0.079060276257132,2
"8",6.07313689139964,55,2,3,1,7,0.0731368913996393,2
"9",5.07219918406508,27,2,3,1,8,0.0721991840650835,2
"10",6.09637762997725,37,2,3,1,9,0.0963776299772467,2
"11",6.1133511231451,4,2,3,2,1,0.113351123145096,2
"12",3.05740185132058,9,2,3,2,2,0.0574018513205816,2
"13",6.07684087268469,10,2,3,2,3,0.0768408726846888,2
"14",0.0912827502972623,13,2,3,2,4,0.0912827502972623,2
"15",4.08442198482088,5,2,3,2,5,0.0844219848208843,2
"16",7.10459135823063,3,2,3,2,6,0.104591358230627,2
"17",6.11054905361605,20,2,3,2,7,0.110549053616048,2
"18",6.1168468166378,8,2,3,2,8,0.116846816637796,2
"19",5.06087923111409,28,2,3,2,9,0.0608792311140878,2
"20",10.1002369952504,26,4,3,1,1,0.100236995250356,2
"21",7.08160789518145,14,4,3,1,2,0.0816078951814525,2
"22",6.06349351740946,9,4,3,1,3,0.0634935174094551,2
"23",5.08894563303004,12,4,3,1,4,0.0889456330300415,2
"24",5.07694594661398,7,4,3,1,5,0.0769459466139821,2
"25",6.12470695193021,2,4,3,1,6,0.124706951930208,2
"26",9.10250307022276,11,4,3,1,7,0.102503070222763,2
"27",9.11805625229792,3,4,3,1,8,0.118056252297917,2
"28",9.10708532490155,2,4,3,1,9,0.107085324901552,2
"29",5.13364644478938,4,4,3,2,1,0.133646444789377,2
"30",3.09986516333481,3,4,3,2,2,0.09986516333481,2
"31",7.0822573789894,2,4,3,2,3,0.0822573789894046,2
"32",4.04743598747146,35,4,3,2,4,0.0474359874714638,2
"33",6.07473511523968,34,4,3,2,5,0.074735115239676,2
"34",9.10263145479018,2,4,3,2,6,0.102631454790176,2
"35",9.09929770902861,13,4,3,2,7,0.0992977090286065,2
"36",6.07414332149516,36,4,3,2,8,0.0741433214951641,2
"37",4.11334928971629,4,4,3,2,9,0.113349289716289,2
"38",5.09313398257159,7,6,3,1,1,0.0931339825715911,2
"39",7.06182110052862,13,6,3,1,2,0.0618211005286211,2
"40",1.07094336279302,2,6,3,1,3,0.0709433627930165,2
"41",7.07437284948989,42,6,3,1,4,0.0743728494898903,2
"42",5.06649952389461,24,6,3,1,5,0.0664995238946107,2
"43",5.07250929864635,9,6,3,1,6,0.0725092986463531,2
"44",9.11739999223354,12,6,3,1,7,0.117399992233542,2
"45",7.08763453973465,11,6,3,1,8,0.087634539734653,2
"46",9.08689952627072,13,6,3,1,9,0.0868995262707237,2
"47",4.07028005191381,8,6,3,2,1,0.0702800519138096,2
"48",3.06300718265314,4,6,3,2,2,0.0630071826531404,2
"49",3.06927322019875,3,6,3,2,3,0.0692732201987472,2
"50",5.05763336619808,60,6,3,2,4,0.0576333661980843,2
"51",4.07199606649009,5,6,3,2,5,0.0719960664900912,2
"52",6.07011549432904,8,6,3,2,6,0.0701154943290394,2
"53",9.11310956198687,9,6,3,2,7,0.113109561986867,2
"54",5.04191091902047,38,6,3,2,8,0.0419109190204692,2
"55",8.10270510639974,59,6,3,2,9,0.102705106399737,2
