"","date","status","surface_elevation","water_temp_0","salinity_0","velocity_u_0","velocity_v_0","pr_wtr","precipitationCal","surface_elevation","water_temp_0","salinity_0","velocity_u_0","velocity_v_0","water_temp_150","salinity_150","velocity_u_150","velocity_v_150"
"1","2011-04-03",NA,759.507142857143,13025.4357142857,7129.72142857143,-85.5517857142857,-47.1678571428571,45.3571434020996,0.00546273672371171,782.857142857143,13853.0971428571,7667.62857142857,-189.537142857143,-106.897142857143,14472.6369047619,-2516.17261904762,16.2190476190476,-8.11619047619048
"2","2011-04-10",NA,797.2,13139.2,7424.32142857143,-43.4940476190476,-24.7214285714286,33.5357131958008,0.00499246938881177,804.731428571429,13854.4342857143,7710.84571428571,-83.6742857142857,-28.5314285714286,14471.7261904762,-1775.40476190476,28.4342857142857,35.4457142857143
"3","2011-04-17",NA,759.428571428571,13240.0428571429,7161.13571428571,-79.4571428571429,-32.3928571428571,30.3250007629395,0.0141746219931,772.754285714286,13885.5428571429,7368.81714285714,-169.56,-117.64,14447.9047619048,-1358.0119047619,6.91333333333333,-25.3628571428571
"4","2011-04-24",NA,763.185714285714,13290.2857142857,7861.37857142857,-45.8047619047619,-19.9452380952381,38.0785713195801,0.0300286441625628,775.325714285714,13850.5542857143,8071.56571428571,-68.3485714285714,-200.377142857143,14470.2142857143,-2196.05952380952,19.2214285714286,-30.7214285714286
"5","2011-05-01",NA,773.928571428571,13312.1,8301.16428571429,-58.6339285714286,-28.5142857142857,41.0464286804199,0.0455771825039327,781.742857142857,13815.3485714286,8559.12571428571,-157.125714285714,-78.7257142857143,14419.5595238095,-2497.42857142857,-0.899047619047619,-25.847619047619
"6","2011-05-08",NA,790.728571428571,13350.6214285714,9152.22857142857,-48.1571428571429,-33.3642857142857,38.478572845459,0.085218873613381,793.462857142857,13875.88,8447.14285714286,-173.005714285714,-159.702857142857,14334.4404761905,-956.904761904762,-15.2914285714286,-49.9228571428571
"7","2011-05-15",NA,816.578571428571,13259.7071428571,9087.32142857143,-15.0196428571429,-8.49285714285714,46.5035705566406,0.66738432432924,800.64,13845.4971428571,8503.13714285714,2.48,-107.657142857143,14368.8214285714,904.380952380952,-20.4285714285714,-65.6933333333333
"8","2011-05-22",NA,778.814285714286,13175.5928571429,9899.1,-36.6595238095238,-21.9761904761905,38.4035720825195,0.108485730896272,780.091428571429,13911.1314285714,9536.51428571429,-56.7657142857143,-138.954285714286,14396.8630952381,-345.428571428571,2.01142857142857,-70.9485714285714
"9","2011-05-29",NA,821.4,12856.7142857143,10018.2285714286,21.0685714285714,-17.09,49.7857131958008,0.810645057473864,808.6,13805.3314285714,9224.53142857143,156.131428571429,-207.411428571429,14270.6011904762,-741.39880952381,6.89428571428571,-43.5542857142857
"10","2011-06-05",NA,829.878571428571,12675.35,10386.65,-37.6414285714286,-22.2414285714286,51.4642868041992,0.300165652057954,826.154285714286,13850.0457142857,8962,51.0171428571429,106.777142857143,14266.9464285714,1454.35119047619,-18.3571428571429,5.32571428571429
"11","2011-06-12",NA,844.214285714286,12400.0142857143,10465.2428571429,-54.9342857142857,11.4385714285714,49.0214309692383,0.794425118821008,834.217142857143,13831.8914285714,8851.78857142857,-31.4,-92.5771428571429,14186.6428571429,2143.17857142857,-29.7057142857143,-85.4885714285714
"12","2011-06-19",NA,846.378571428571,12056.1428571429,10545.7857142857,-38.2142857142857,-14.4857142857143,50.9857139587402,0.328198364377022,835.337142857143,13806.4628571429,9206.30285714286,51.1942857142857,51.2,14369.6130952381,1507.55952380952,-15.5588571428571,-33.2468571428571
"13","2011-06-26",NA,937.871428571429,11955.1071428571,9437.60714285714,58.3511904761905,48.1166666666667,57.0750007629395,2.92334136962891,846.674285714286,13689.9142857143,8061.33142857143,343.257142857143,91.9028571428571,14243.244047619,2613.23214285714,15.0285714285714,-55.5371428571429
"14","2011-07-03",NA,808.121428571429,11485.8785714286,9206.39285714286,-35.1511904761905,-43.8738095238095,46.8464279174805,0.271252119966916,820.228571428571,13623.3885714286,8879.50285714286,19.7828571428571,-165.085714285714,14160.5773809524,1358.14880952381,-7.28571428571429,-100.891428571429
"15","2011-07-10",NA,809.728571428571,11114.8571428571,9182.35,-1.50238095238095,-21.6190476190476,50.4892845153809,0.629224270156452,789.622857142857,13462.3028571429,9275.06857142857,47.3371428571429,-105.022857142857,14413.2797619048,-411.27380952381,20.4757142857143,-58.0342857142857
"16","2011-07-17",NA,822.042857142857,10779.9357142857,9137.92857142857,-1.94047619047619,-15.4166666666667,51.5499992370605,0.233619692495891,803.108571428571,13553.2628571429,8162.21142857143,195.742857142857,-91.0228571428571,14300.3333333333,-1037.68452380952,-7.14571428571429,-138.932857142857
"17","2011-07-24",NA,828.435714285714,10478.5,10066.1928571429,27.8142857142857,-3.22142857142857,48.1392860412598,0.187085803850953,812.057142857143,13626.4971428571,9253.64,100.08,-231.874285714286,14412.0476190476,-1744.72023809524,-20.1247619047619,-93.8171428571429
"18","2011-07-31",NA,871.264285714286,10429.6071428571,9875.02857142857,5.79285714285714,4.8,52.0785713195801,1.79373985358647,834.537142857143,13508.1942857143,8841.54285714286,201.291428571429,-35.7771428571429,14335.119047619,-1280.67261904762,-16.7842857142857,-50.9285714285714
"19","2011-08-07",NA,885.935714285714,9596.3,9386.31428571429,28.5757142857143,-31.5271428571429,51.3499984741211,1.21766926433359,854.337142857143,13421.6057142857,7993.2,227.657142857143,-219.137142857143,14267.5476190476,-940.946428571429,-11.4885714285714,-58.5057142857143
