,date,Sal
214,10/1/2021,34.19489732
215,10/1/2016,34.52626786
216,3/21/2019,34.35911012
217,4/5/2017,34.29263393
218,6/8/2012,34.2986131
219,10/25/2013,34.31066071
220,9/23/2018,34.07900651
221,8/7/2015,34.41615476
222,8/20/2021,34.25201339
223,8/4/2019,34.20751711
224,5/4/2020,34.25912723
225,8/5/2015,34.39031548
226,6/27/2014,34.45085714
227,8/4/2020,34.19861086
228,9/1/2015,34.41804167
229,11/18/2018,34.18904861
230,5/24/2020,34.25197991
231,7/13/2013,34.42992857
232,11/11/2015,34.60782738
233,2/20/2016,34.56208333
234,7/30/2017,34.11488889
235,9/16/2013,34.23144643
236,6/20/2012,34.29034524
237,1/18/2019,34.23179911
238,3/19/2021,34.24407292
239,6/7/2014,34.54630952
240,6/27/2021,34.26165699
241,1/25/2013,34.16822917
242,3/15/2015,34.44217262
243,10/2/2019,34.24632068
244,5/9/2020,34.23979688
245,8/15/2021,34.2449375
246,2/17/2012,33.87239881
247,1/7/2017,34.56060714
248,11/12/2017,33.98098214
249,6/29/2012,34.34207143
250,6/10/2015,34.48429762
251,1/28/2013,34.15447024
252,1/4/2020,34.24467708
253,6/13/2017,34.03024405
254,9/2/2018,34.1808869
255,6/28/2014,34.45028571
256,9/13/2012,34.08757143
257,11/19/2019,34.09273661
258,4/15/2012,34.2009881
259,11/4/2016,34.43978571
260,2/25/2012,33.98482143
261,1/6/2016,34.61629762
262,5/29/2021,34.29855655
263,10/19/2016,34.316725
264,6/16/2016,34.62075
265,7/28/2019,34.18689955
266,9/13/2012,34.08757143
267,6/15/2020,34.26672842
268,3/15/2020,34.36978943
269,11/15/2014,34.02549405
270,6/15/2012,34.30931548
271,3/7/2017,34.3535119
272,11/28/2016,34.32079167
273,6/27/2019,34.25932045
274,10/10/2020,34.18129985
275,3/3/2012,34.09897024
276,5/19/2016,34.75933333
277,3/15/2013,34.40432738
278,5/17/2015,34.60520238
279,1/31/2013,34.15403571
280,11/23/2018,34.15447098
281,9/19/2016,34.56790278
282,2/23/2012,33.9357619
283,11/26/2015,34.4710119
284,3/5/2017,34.35270536
285,9/2/2017,34.06599702
286,10/19/2019,34.17809077
287,11/3/2015,34.70343452
288,2/12/2019,34.32486533
289,3/11/2021,34.2572247
290,3/12/2012,34.18855952
291,3/8/2015,34.3477619
292,1/17/2020,34.2641183
293,6/5/2014,34.54161905
294,6/13/2018,34.15296429
295,4/13/2018,34.27250694
296,3/30/2016,34.52817262
297,10/20/2014,34.14288095
298,9/21/2014,34.2937619
299,11/24/2012,34.13471429
300,4/26/2016,34.62247619
301,8/24/2021,34.24764063
302,7/15/2020,34.22904539
303,8/8/2021,34.2129933
304,5/7/2014,34.4338631
305,3/27/2018,34.26542262
306,10/23/2015,34.54632143
307,4/20/2019,34.32282887
308,9/25/2018,34.08597192
309,12/13/2012,34.31928571
310,7/8/2014,34.32880357
311,12/25/2014,34.38720833
312,2/15/2016,34.56917262
313,4/8/2015,34.42434524
314,4/19/2020,34.33326711
315,9/15/2019,34.21540476
316,7/16/2017,34.17797619
317,2/22/2018,34.19496429
318,7/14/2021,34.25286384
319,5/20/2013,34.33431548
320,3/16/2021,34.24946652
321,11/23/2020,34.12110938
322,3/11/2019,34.35595313
323,11/22/2019,34.1127433
324,9/28/2020,33.9451808
325,3/17/2019,34.36737351
326,8/6/2019,34.20618824
327,3/22/2015,34.50490278
328,12/8/2016,34.39234524
329,5/3/2012,34.31160714
330,11/17/2013,34.11016667
331,9/8/2014,34.42964286
332,7/6/2017,34.14289881
333,10/29/2017,34.07509259
334,6/11/2019,34.3124814
335,12/24/2012,34.300625
336,6/1/2015,34.60335714
337,5/22/2014,34.45068452
338,9/2/2018,34.1808869
339,3/22/2013,34.18355833
340,10/13/2019,34.1881689
341,12/14/2012,34.34144643
342,12/9/2014,34.30871429
343,7/13/2018,34.18028571
344,2/15/2019,34.33554985
345,10/14/2014,34.21065476
346,10/31/2016,34.39120833
347,5/15/2012,34.31447024
348,4/19/2015,34.46557143
349,10/31/2018,34.16817222
350,1/22/2013,34.11618056
351,5/2/2014,34.42914286
352,6/12/2018,34.15642857
353,7/1/2012,34.35966071
354,6/29/2014,34.44201786
355,9/11/2019,34.17940699
356,11/5/2018,34.12310357
357,11/1/2013,34.27210119
358,10/22/2020,34.13033854
359,7/24/2012,34.2494881
360,11/13/2014,34.02750595
361,6/14/2012,34.29949405
362,3/13/2017,34.39148512
363,10/23/2017,34.00739881
364,9/27/2016,34.555375
365,3/25/2014,34.31694048
366,2/27/2014,34.31049405
367,2/16/2017,34.39274679
368,9/19/2019,34.2443058
369,10/26/2018,34.12083482
370,8/18/2021,34.25513839
371,6/23/2017,34.03996726
372,9/21/2014,34.2937619
373,2/19/2017,34.41919551
374,8/19/2021,34.25643229
375,2/7/2017,34.2569881
376,10/15/2012,34.16931548
377,7/7/2020,34.24812872
378,4/13/2016,34.53744643
379,5/15/2020,34.25316815
380,8/25/2015,34.45960714
381,6/6/2015,34.5591369
382,5/20/2017,34.22480335
383,2/16/2015,34.33794048
384,1/3/2021,34.12969196
385,6/2/2012,34.31431548
386,3/26/2013,34.19189583
387,9/1/2020,34.22510565
388,4/19/2014,34.42775
389,5/31/2012,34.29860714
390,10/3/2012,34.15176786
391,5/19/2015,34.62195238
392,4/25/2021,34.21407143
393,6/27/2012,34.32433929
394,6/26/2021,34.26229315
395,5/20/2017,34.22480335
396,5/2/2014,34.42914286
397,2/3/2016,34.60864286
398,12/18/2015,34.45632738
399,3/30/2020,34.34956101
400,11/22/2019,34.1127433
401,8/9/2019,34.20675744
402,3/23/2015,34.51420833
403,5/28/2017,34.16981863
404,1/24/2015,34.1987619
405,12/8/2020,34.11865774
406,5/9/2013,34.33604167
407,5/4/2012,34.32210714
408,12/21/2018,34.18257664
409,5/29/2019,34.3280811
410,11/10/2015,34.62954762
411,7/16/2014,34.34139881
412,5/22/2015,34.60927381
413,10/25/2019,34.19506845
414,2/19/2013,34.09779167
415,9/30/2013,34.32995238
416,7/12/2013,34.42860119
417,8/10/2020,34.23872396
418,5/21/2015,34.61780952
419,10/22/2020,34.13033854
420,12/8/2019,34.17748586
