"","date","temp","day"
"142","2018-01-18","28.070994047619",18
"143","2016-07-22","29.6451666666667",204
"144","2013-08-10","29.145630952381",222
"145","2019-04-21","28.1299799107143",111
"146","2018-04-12","28.2766805555556",102
"147","2020-03-13","27.4443995535714",73
"148","2020-05-11","28.6463720238095",132
"149","2014-02-27","26.9252083333333",58
"150","2016-11-30","29.0479642857143",335
"151","2015-05-28","29.763130952381",148
"152","2020-09-14","29.8554181547619",258
"153","2015-10-26","29.5848928571429",299
"154","2021-04-26","28.0955825892857",116
"155","2021-02-12","28.0430014880952",43
"156","2012-06-28","29.3363035714286",180
"157","2016-09-27","29.7306388888889",271
"158","2012-12-27","27.9758392857143",362
"159","2020-01-26","27.5428519345238",26
"160","2012-05-03","28.9249583333333",124
"161","2017-08-09","29.3629",221
"162","2016-02-08","27.5116130952381",39
"163","2015-06-01","29.9097678571429",152
"164","2019-11-18","29.0730379464286",322
"165","2020-03-29","27.9393616071429",89
"166","2014-02-12","27.414755952381",43
"167","2019-09-19","28.6875833333333",262
"168","2019-11-11","29.3903668154762",315
"169","2013-09-21","29.2810892857143",264
"170","2014-05-23","29.353119047619",143
"171","2015-02-06","26.562619047619",37
"172","2018-05-19","29.4886130952381",139
"173","2012-07-21","29.1920595238095",203
"174","2015-06-02","29.8690535714286",153
"175","2012-11-22","28.5162857142857",327
"176","2013-01-20","27.6301666666667",20
"177","2020-03-18","27.5515267857143",78
"178","2014-02-05","27.0272321428571",36
"179","2014-07-08","29.252744047619",189
"180","2019-09-25","28.8569985119048",268
"181","2019-11-22","29.1066763392857",326
"182","2019-04-19","28.0297172619048",109
"183","2014-12-04","28.9932916666667",338
"184","2016-01-03","27.7371964285714",3
"185","2012-05-03","28.9249583333333",124
"186","2013-07-18","28.2791488095238",199
"187","2019-12-06","28.6513236607143",340
"188","2015-10-11","29.4202619047619",284
"189","2016-11-21","28.8818214285714",326
"190","2021-07-24","29.266974702381",205
"191","2019-01-15","27.2158459821429",15
"192","2015-05-10","28.808994047619",130
"193","2014-08-12","28.9481011904762",224
"194","2021-09-25","29.4624196428571",268
"195","2016-09-13","29.8294345238095",257
"196","2019-09-22","28.7036763392857",265
"197","2013-05-22","29.3562023809524",142
"198","2019-01-14","27.2698191964286",14
"199","2019-03-13","27.067021577381",72
"200","2012-08-12","29.1213511904762",225
"201","2013-01-21","27.595625",21
"202","2021-01-10","28.4135327380952",10
"203","2021-01-06","28.4586078869048",6
"204","2016-12-10","28.3687291666667",345
"205","2016-05-06","29.0248571428571",127
"206","2020-02-24","27.1319300595238",55
"207","2019-04-17","27.7807998511905",107
"208","2016-01-24","27.72425",24
"209","2015-04-19","27.7508511904762",109
"210","2014-11-02","29.1638511904762",306
"211","2018-09-27","29.0696197916667",270
"212","2015-03-27","27.7311805555556",86
"213","2015-08-17","29.5534404761905",229
"214","2015-12-23","28.7093154761905",357
"215","2018-08-04","29.0879107142857",216
"216","2020-08-10","29.3529813988095",223
"217","2020-07-15","29.2849933035714",197
"218","2021-01-18","27.9552023809524",18
"219","2020-08-28","29.656822172619",241
"220","2016-10-13","29.5313392857143",287
"221","2016-03-04","27.3047202380952",64
"222","2017-02-01","26.8855833333333",32
"223","2021-04-02","28.1402708333333",92
"224","2020-10-03","29.694462797619",277
"225","2021-08-31","29.3940044642857",243
"226","2017-03-06","27.0117053571429",65
"227","2014-01-02","28.5201964285714",2
"228","2021-01-19","27.8907552083333",19
"229","2014-12-10","28.5104226190476",344
"230","2017-06-20","29.6334970238095",171
"231","2021-10-04","29.6247306547619",277
"232","2020-07-07","29.2407648809524",189
"233","2018-11-05","28.9859702380952",309
"234","2015-04-23","27.9798988095238",113
"235","2021-03-15","27.817203125",74
"236","2017-03-27","27.6057211538462",86
"237","2021-01-13","28.2493325892857",13
"238","2016-09-01","29.5066964285714",245
"239","2019-05-10","28.6905651515152",130
"240","2012-12-09","27.7050178571429",344
"241","2016-07-07","28.7839880952381",189
"242","2013-11-21","29.028505952381",325
"243","2017-07-19","29.1470238095238",200
"244","2015-12-23","28.7093154761905",357
"245","2012-07-02","29.244625",184
"246","2017-03-07","26.9930744047619",66
"247","2016-03-09","27.4660833333333",69
"248","2020-11-27","28.9950952380952",332
"249","2021-10-12","29.3584724702381",285
"250","2017-11-02","29.0643981481482",306
"251","2019-12-29","28.0675773809524",363
"252","2016-01-30","27.453744047619",30
"253","2015-02-05","26.651375",36
"254","2020-02-01","27.7849888392857",32
"255","2014-07-20","29.5121666666667",201
"256","2019-05-05","28.3316606060606",125
"257","2016-04-04","27.733875",95
"258","2019-06-02","29.3021354166667",153
"259","2020-08-31","29.7157455357143",244
"260","2014-01-08","28.0941964285714",8
"261","2021-04-11","28.1508772321429",101
"262","2015-11-15","28.8935833333333",319
"263","2012-12-18","28.4300416666667",353
"264","2018-05-06","28.7464097222222",126
"265","2019-04-11","27.4613794642857",101
"266","2017-06-09","29.4674255952381",160
"267","2013-10-04","29.1441071428571",277
"268","2016-10-27","29.4190297619048",301
"269","2020-12-02","28.7469270833333",337
"270","2020-11-22","29.1256369047619",327
"271","2018-10-12","29.1986555059524",285
"272","2015-06-11","29.6994702380952",162
"273","2015-09-03","29.308255952381",246
"274","2019-11-09","29.2198214285714",313
"275","2018-09-23","29.0939583333333",266
"276","2013-09-26","29.2336607142857",269
"277","2012-07-30","29.1472202380952",212
"278","2018-10-30","29.0855793269231",303
"279","2013-04-17","28.370005952381",107
"280","2017-04-03","27.497875",93
"281","2020-04-19","28.5004010416667",110
"282","2019-03-30","27.3797931547619",89
"283","2020-10-31","29.4205031446541",305
"284","2013-03-08","27.492",67
"285","2016-03-04","27.3047202380952",64
"286","2014-05-22","29.2727976190476",142
"287","2015-08-10","29.1129880952381",222
"288","2014-01-07","28.1596666666667",7
"289","2015-05-10","28.808994047619",130
"290","2020-04-16","28.304165922619",107
"291","2012-10-07","28.7050416666667",281
"292","2016-01-10","27.6519583333333",10
"293","2014-12-02","28.9521369047619",336
"294","2020-11-13","29.1981889880952",318
"295","2018-03-29","27.9929345238095",88
"296","2017-04-06","27.4063422619048",96
"297","2016-10-17","29.3806",291
"298","2018-03-10","27.8295666666667",69
"299","2013-12-16","28.6815416666667",350
"300","2018-06-18","28.9460654761905",169
"301","2012-03-11","27.6280535714286",71
"302","2014-08-03","28.4222083333333",215
"303","2018-04-29","28.823869047619",119
"304","2015-11-09","28.9577738095238",313
"305","2014-04-23","27.5880952380952",113
"306","2018-01-21","27.8761845238095",21
"307","2014-05-31","29.7162916666667",151
"308","2021-08-12","29.503724702381",224
"309","2013-06-10","29.158",161
"310","2017-05-25","28.8595285087719",145
"311","2019-10-05","29.2331220238095",278
"312","2019-03-12","27.0149449404762",71
"313","2019-09-15","28.9587805059524",258
"314","2012-04-19","28.2719880952381",110
"315","2012-08-09","28.9649404761905",222
"316","2017-09-08","29.7569880952381",251
"317","2012-06-23","29.1927857142857",175
"318","2013-05-04","29.1103095238095",124
"319","2012-10-23","28.9465833333333",297
"320","2017-06-12","29.5267678571429",163
